Model version,Images trained,Time [s],Loss (Training),Loss (Validation),Accuracy (Training),Accuracy (Validation)
1,64128,720.5550553798676,0.4315241,,0.8479872881355932,
2,129408,1441.7666025161743,0.31677422,,0.9277267156862745,
3,194560,2163.1242623329163,0.28529516,,0.9476455058939096,
4,259584,2884.473854780197,0.2692176,,0.958123154527559,
5,324800,3605.3590745925903,0.25893041,,0.9644872423945045,
6,390144,4326.377051115036,0.25129062,,0.9687193927522038,
7,455488,5047.620402097702,0.24610281,,0.9721167972575906,
8,520640,5768.455151796341,0.24096698,,0.9753039047151277,
9,585792,6489.475912570953,0.23799819,,0.9766085461689588,
10,651072,7210.594931840897,0.23475668,,0.9787071078431373,
11,716224,7931.986933469772,0.23188956,,0.9807527013752456,
12,781504,8653.220837593079,0.23082243,,0.9814185049019608,
13,846784,9374.263883113861,0.22862092,,0.9826286764705883,
14,912192,10095.287023305893,0.22948804,,0.9819441046966731,
15,977600,10816.646248817444,0.22692133,,0.9834271037181996,
16,1042880,11538.059339046478,0.22634211,,0.9838388480392157,
17,1107968,12258.88526892662,0.22361772,,0.9855119223205506,
18,1173184,12980.147715091705,0.22320904,,0.9858930323846908,
19,1236544,13701.076703548431,0.22249126,,0.9865214646464646,
20,1301824,14422.019667863846,0.22196212,,0.9861060049019608,
21,1367168,15142.889206647873,0.2218948,,0.9863950783545543,
22,1432448,15864.122893333435,0.2212641,,0.9870863970588235,
23,1497664,16585.5208837986,0.21972157,,0.9877330716388616,
24,1562880,17306.96952033043,0.21934648,,0.9881317468105987,
25,1628096,18027.834248781204,0.21772806,,0.9886684249263984,
26,1693184,18749.004158496857,0.21817854,,0.9887229596853491,
27,1758016,19469.830975294113,0.21742377,,0.9892491362290227,
28,1822272,20191.151351690292,0.2200334,,0.9880944970119522,
29,1887488,20911.962275743484,0.21725377,,0.9892511040235525,
30,1952704,21632.88055086136,0.21718022,,0.9890824337585868,
31,2018240,22354.097425460815,0.2173372,,0.98919677734375,
32,2083648,23075.047467947006,0.2151508,,0.9905210371819961,
33,2148928,23796.15384054184,0.2155568,,0.990609681372549,
34,2214080,24517.063593149185,0.21545807,,0.9903763506876228,
35,2279296,25238.416061401367,0.2151314,,0.9904777968596663,
36,2344768,25959.89941239357,0.21486355,,0.9905150293255132,
37,2410176,26680.775949716568,0.21473777,,0.9910408512720157,
38,2475520,27401.94960808754,0.21366264,,0.9914452742409402,
39,2540864,28123.1026365757,0.21384856,,0.991307541625857,
40,2606272,28843.94079232216,0.21403874,,0.9911937377690803,
41,2671808,29564.842698574066,0.21466067,,0.9908294677734375,
42,2737280,30285.724434137344,0.2123906,,0.9923936950146628,
43,2802816,31006.644196510315,0.21424145,,0.9910888671875,
44,2868160,31727.60395860672,0.21314445,,0.9914452742409402,
45,2933312,32448.93657183647,0.21332984,,0.9917730844793713,
