Model version,Images trained,Time [s],Loss (Training),Loss (Validation),Accuracy (Training),Accuracy (Validation)
1,64832,720.3948972225189,0.44124633,0.2766419,0.8389731262327417,0.9527529761904762
2,130944,1442.0120952129364,0.31844634,0.23864415,0.925807720232333,0.984375
3,197312,2163.393648147583,0.2822884,0.22020835,0.9497046769527483,1.0
4,263488,2884.8941299915314,0.26944008,0.2630837,0.9572050290135397,0.9523809523809523
5,330048,3606.6414427757263,0.25897875,0.2130979,0.9641826923076923,0.9921875
6,396480,4327.863830804825,0.2500632,0.23538394,0.9695026493256262,0.9761904761904762
7,462592,5049.641530990601,0.24639148,0.20792834,0.9718507986447241,1.0
8,526528,5770.859839916229,0.24209596,0.21993172,0.9743962712712713,0.9761904761904762
9,592704,6492.403446674347,0.24055643,0.20773312,0.9755651595744681,1.0
10,659072,7213.807258605957,0.2355036,0.20331617,0.978558944069431,1.0
11,725312,7935.49610543251,0.23308809,0.20018661,0.9802687198067633,1.0
12,791424,8657.319328308105,0.23143269,0.21092927,0.9808506776379478,1.0
13,857664,9378.690190076828,0.23127785,0.20112456,0.9807820048309178,1.0
14,924160,10100.391973257065,0.22716413,0.20274037,0.9839388835418672,1.0
15,990592,10821.631208896637,0.2277007,0.20967217,0.9833513969171483,0.9921875
16,1056832,11542.87220287323,0.22673717,0.20430999,0.9836503623188406,1.0
17,1122752,12264.080108642578,0.22250484,0.19899811,0.9861953883495146,1.0
18,1188864,12985.675315141678,0.2237844,0.20598671,0.9854338092933205,1.0
19,1255104,13706.854424238205,0.22132519,0.20683952,0.9870169082125604,0.9921875
20,1321856,14428.218058109283,0.22083037,0.19938335,0.9873412032598274,1.0
21,1388160,15149.528762578964,0.22094655,0.1991067,0.9872405888030888,1.0
22,1454464,15871.272958040237,0.2205556,0.2019585,0.9872104247104247,1.0
23,1521024,16592.99734210968,0.2210628,0.1995414,0.9871544471153846,1.0
24,1587392,17314.61302256584,0.21889588,0.20119265,0.9881117405978785,1.0
25,1653952,18036.39598417282,0.21791036,0.20011336,0.9889122596153846,1.0
26,1720128,18758.261537075043,0.21872297,0.19931494,0.988621252417795,1.0
27,1786240,19479.510825395584,0.21787834,0.21981323,0.9880505808325266,0.9761904761904762
28,1852672,20201.16489505768,0.2171934,0.19913593,0.9895381743737958,1.0
29,1919232,20922.424845457077,0.21678342,0.22181109,0.9892878605769231,0.9761904761904762
30,1985792,21644.18246102333,0.2159119,0.1994049,0.9900540865384615,1.0
31,2052160,22365.504804611206,0.21668571,0.1992077,0.9895732883317261,1.0
32,2118208,23086.711315631866,0.21520524,0.20371166,0.9906280281007752,1.0
33,2184832,23807.95521402359,0.21429792,0.20961845,0.991054274735831,0.9921875
34,2251264,24529.41337943077,0.21538968,0.20588425,0.9904413535645472,0.9921875
35,2317504,25250.871270895004,0.21513395,0.19952673,0.9904438405797101,1.0
36,2383936,25972.324979305267,0.21627046,0.20038077,0.9897940751445087,1.0
37,2450048,26693.53511619568,0.21466362,0.19890529,0.9904253388189739,1.0
38,2516352,27415.171322107315,0.21390167,0.20130521,0.9911317567567568,1.0
39,2582592,28136.45874118805,0.21372686,0.20069814,0.9915307971014493,1.0
40,2648640,28857.83043217659,0.21476808,0.20765592,0.990734011627907,0.9921875
