Model version,Images trained,Time [s],Loss (Training),Loss (Validation),Accuracy (Training),Accuracy (Validation)
1,64000,720.3502922058105,0.43902078,0.31668434,0.8409403096903096,0.9332837301587301
2,129280,1442.2828636169434,0.3222317,0.29222137,0.9253370098039215,0.9490947420634921
3,194752,2163.926200389862,0.28388575,0.30063817,0.9488483626588465,0.9451884920634921
4,260224,2886.0405135154724,0.263405,0.2772254,0.9609909579667644,0.95703125
5,325760,3607.8675198554993,0.25300556,0.2509675,0.967681884765625,0.968687996031746
6,391232,4329.558739185333,0.24897182,0.27261835,0.970491202346041,0.956969246031746
7,454976,5051.575534582138,0.24112631,0.25434503,0.9749152861445783,0.972594246031746
8,520384,5773.672372102737,0.23732558,0.27067918,0.9779384784735812,0.949156746031746
9,585472,6496.060912847519,0.23553121,0.25726148,0.9785060226155359,0.964781746031746
10,651008,7218.415007591248,0.23081985,0.26688966,0.9813079833984375,0.9568452380952381
11,715904,7940.156866550446,0.23010896,0.2648035,0.9814164201183432,0.960875496031746
12,781376,8661.975354194641,0.2267767,0.2791423,0.9836113147605083,0.9569072420634921
13,846912,9383.667270183563,0.22769478,0.2624468,0.98291015625,0.964781746031746
14,912512,10105.341653585434,0.22596519,0.2621822,0.9840091463414634,0.960875496031746
15,977856,10827.194890260696,0.223983,0.27879274,0.9850942703232125,0.953062996031746
16,1043136,11549.292098999023,0.22254719,0.28893527,0.9856464460784313,0.9568452380952381
17,1108544,12271.066527843475,0.22119144,0.31579292,0.9872339774951077,0.9334077380952381
18,1173056,12993.405981063843,0.22073334,0.26959887,0.9870721726190477,0.9609375
19,1238400,13715.235682964325,0.22061665,0.30481124,0.9873592066601371,0.9373759920634921
20,1303808,14437.604877710342,0.2182269,0.2841459,0.9881971624266145,0.960875496031746
21,1369408,15159.510752439499,0.21879019,0.274957,0.9883993902439024,0.960875496031746
22,1434944,15881.642335653305,0.21849445,0.29459056,0.9884796142578125,0.9530009920634921
23,1500416,16603.809997081757,0.2167382,0.2863699,0.9894153225806451,0.9568452380952381
24,1565824,17325.983309984207,0.21652359,0.28622133,0.9898942025440313,0.953062996031746
25,1631168,18048.109444618225,0.21528944,0.29824576,0.9903740205680706,0.9568452380952381
26,1696576,18770.342307567596,0.21633513,0.28449416,0.989649584148728,0.9647197420634921
27,1761920,19492.14063668251,0.21602263,0.27554,0.9898996082272282,0.964781746031746
28,1827264,20214.56473517418,0.21413127,0.28508067,0.9909861655239961,0.960875496031746
29,1891840,20936.463255167007,0.21449806,0.27463895,0.9906621655104063,0.9569072420634921
30,1957184,21658.342692375183,0.21314557,0.28144604,0.9918125612144956,0.960875496031746
31,2022592,22380.17764568329,0.21341008,0.2986165,0.9914383561643836,0.9412202380952381
32,2088064,23102.500599861145,0.21399735,0.3029951,0.9912328934506354,0.9529389880952381
33,2153280,23824.338225364685,0.21362814,0.28478837,0.9912598135426889,0.9568452380952381
34,2218624,24546.116625785828,0.21358927,0.3066926,0.9915677032321254,0.9489707341269842
35,2283968,25268.087661981583,0.21168792,0.28703293,0.9926389569049952,0.9490327380952381
36,2349312,25990.010237693787,0.2119586,0.28531596,0.9923634916748286,0.9607514880952381
37,2414656,26712.3433907032,0.21159106,0.28660607,0.9926542605288933,0.9569072420634921
38,2480064,27434.245290517807,0.21274783,0.27325258,0.9920040362035225,0.960875496031746
